Patrimonio;Prefixo;Material;Operacao;Tipo;Subtipo;Unidade;Unidade Agrupadora;Estado;Acautelado Para
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Luva De Vaqueta (Par) (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Lanterna Tática Tipo Cotovelo (Anti-Explosão);PLUVIAM;OPERACIONAL;Salvamento;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Lanterna Tática Tipo Cotovelo (Anti-Explosão);PLUVIAM;OPERACIONAL;Salvamento;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Cantil;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Malho;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Corda De Prontidão - até 50m;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Corda De Prontidão - até 50m;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Corda De Prontidão - até 50m;PLUVIAM;OPERACIONAL;Salvamento;DBM 2/16 - Bonsucesso;16º GBM - Teresópolis;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Protetor Auricular Tipo Plugue - Caixa Fechada;PLUVIAM;OPERACIONAL;Equipamento de Proteção;DBM 4/6 - Cantagalo;6º GBM - Nova Friburgo;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Pá Quadrada Ou De Bico;PLUVIAM;OPERACIONAL;Fogo em Vegetação;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Corda De Prontidão - até 50m;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Corda De Prontidão - até 50m;PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Lanterna Tática Tipo Cotovelo (Anti-Explosão);PLUVIAM;OPERACIONAL;Salvamento;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Alavanca;PLUVIAM;OPERACIONAL;Demais Atividades Especializadas;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;imprestavel;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Luva Nitrílica de Cano Longo ou Curto (Par);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Joelheira Tática Articulada (Brec);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
-;-;Roupa Para Enchentes (Jardineira);PLUVIAM;OPERACIONAL;Equipamento de Proteção;6º GBM - Nova Friburgo;6º GBM - Nova Friburgo;operando;-
